Id,Label,ns:computer.programming_language.introduced
ns:m.05qxnz,TACPOL,
ns:m.05rlf_,Microsoft Pascal,
ns:m.05s50p,PWB shell,
ns:m.05sfxb,Visual Prolog,
ns:m.05t0ys2,JEAN,
ns:m.05tthtg,Corba IDL,
ns:m.05vfz1,DAML+OIL,
ns:m.05vpz,Prolog,1972
ns:m.05wgtq,Use,
ns:m.05xjv,PL/I,1964
ns:m.05xx0y,IEC 61131-3,
ns:m.05yl8k,SMALL,
ns:m.05z1_,Python,1991
ns:m.05z2qq4,UNICON,2002
ns:m.05z2qqf,ICON,
ns:m.05z3dws,tiscript,2007
ns:m.05zp9j,Fortress,
ns:m.05zrn,Perl,1987
ns:m.05ztn31,Axum,2009
ns:m.05zx8sy,AgentSpeak,1996
ns:m.06016,PostScript,1982
ns:m.0609p,PL/SQL,
ns:m.060cw1,SIMCOS,
ns:m.060kv,PHP,1995
ns:m.061mwg,ARexx,
ns:m.061wdk,Autocoder,
ns:m.062bml,Loco,
ns:m.063_0dp,QASL,
ns:m.063_3xr,Babbage,
ns:m.063cr,Page description language,
ns:m.063h0s,Harbour,1999
